Partlist exported from Team Hub: Zack's Team   Project: Senior Design Patient Monitor  Board: Patient Monitor Board v97 at 3/15/2024 6:08 PM

Ordered	Qty Value              Device                  Package                Parts                                                              Description                      CURRENT IC_MAX I_MAX POPULARITY POWER SIZE TEMPERATURE VALUE        VCE_MAX VOLTAGE  VP_MAX VR_MAX V_MAX
Have	1   4.7 H   20%        IND-H-4.7U-2520         2520-SEM               L1                                                                 Inductors                        1.4A                                  2520 -55~125?    4.7 H   20%                                      
Have	1   470O   1%          RES-H-470R-1608         1608-SEM               R47                                                                Resistors                                                        1/10W      -55~155 C   470O   1%            6.85V                       
Have	1   4x10kO   5%        RES-V-ARRAY-4P-10K-2010 2010-4P-SEM            R37                                                                Resistor Array 4-Piece                                           1/16W      -55~155 C   4x10kO   5%          25V                         
Have	1   6.2MO   1%         RES-H-6.2M-1608         1608-SEM               R17                                                                Resistors                                                        1/10W      -55~155 C   6.2MO   1%           50V                         
Yes	1   68nF   10%         CAP-V-0.068UF-1608      1608-SEM               C41                                                                Ceramic Capacitors                                                     1608 X7R         68nF   10%           50V                         
Have	1   AD8226-PDIP        AD8226-PDIP             8P3-PDIP               U13                                                                Instrumentation Amplifier                                                                                                                
Yes	1   AD8232             AD8232                  LFCSP-20               U1                                                                 Heart Rate (ECG) Monitor                                                                                                                 
Yes	1   ADC121S021         ADC121S021              SOT-23                 U7                                                                 12-Bit SPI ADC                                                                                                                           
Have	1   Blue               LED-V-BLUE-3216         3216                   DS2                                                                LEDs                                                                   3216 -40~85 C    Blue                 3.0-3.2V                    
N/A	1   DNI                RES-V-DNI-1608          1608-SEM               R51                                                                Resistors                                                        1/10W      -55~155 C   DNI                  N/A                         
Yes	2   ESP32-WROOM-32E/UE ESP32-WROOM-32E/UE      ESP32-WROOM-32E        U3, U4                                                             ESP32-WROOM-32E/UE                                                                                                                       
Have	1   Green              LED-V-GREEN-3216        3216                   DS1                                                                LEDs                                                                   3216 -40~85 C    Green                3.0-3.2V                    
Have	1   IN914              DIODE-V-IN914           DO-35                  D1                                                                 Standard Diodes                                 300mA                       -65~175 C   IN914                         1V     75V         
Yes	1   ISO4472            ISO4472                 SOIC-16                U6                                                                 Quad Channel Digital Isolation                                                                                                           
N/A	1   JUMPER-2-BRIDGED-1 JUMPER-2-BRIDGED-1      JUMPER-PAD-2-BRIDGED-1 JP7                                                                Jumper Pad Dual Connection                                                                                                               
Have	1   LM358B             LM358B                  D0008A-SOIC            U2                                                                 Dual Op-amp                                                                                                                              
Yes	1   MICRO-SD           MICRO-SD                MEM2061                J12                                                                Micro-SD Connector                                                                                                                       
Yes	1   MPX10DP            MPX10DP                 SOT1754-1              U11                                                                Pressure Sensor                                                                                                                          
Have	1   OP97               OPX7-OP97               8P3-PDIP               U12                                                                OP Family of Op-amps                                                                    OP97                                             
Have	1   Red                LED-V-RED-3216          3216                   DS3                                                                LEDs                                                                   3216 -40~85 C    Red                  2.0-2.2V                    
Yes	1   SWITCH-SPDT-EG1270 SWITCH-SPDT-EG1270      EG1270                 SW1                                                                SPDT Switch                                                                                                                              
N/A	7   TEST-POINT         TEST-POINT              TEST-POINT             TP1, TP2, TP3, TP4, TP5, TP6, TP7                                  Test point                                                                                                                               
Have	1   TIP31C             BJT-NPN-TIP31C          TO-220                 Q1                                                                 NPN BJTs                                 3A                      40W                    TIP31C       100V                                
Have	1   TL3305             BUTTON-V-SPST-TL3305    TL3305                 SW2                                                                SPST Button                                     50mA                                    TL3305                                      12V  
Have	1   TPS562202          TPS562202               SOT563                 U8                                                                 DC-DC Buck Converter                                                                                                                     
Yes	1   TPS61093           TPS61093                WSON-10                U10                                                                DC-DC Boost Converter                                                                                                                    
Yes	1   UCC12041-Q1        UCC12041-Q1             SOIC-16                U5                                                                 5-3.3V Isolated DC/DC Converter                                                                                                          
Yes	1   USB-C-CHARGING     USB-C-CHARGING          USB-4125               J2                                                                 USB-C Charging Only                                                                                                                      
